,1,2,3,4,5,6,7,8,9,10
citrus-fruit,citrus-fruit,other-vegetables,tropical-fruit,whole-milk,yogurt,root-vegetables,pip-fruit,domestic-eggs,bottled-water,whipped/sour-cream
semi-finished-bread,semi-finished-bread,whole-milk,tropical-fruit,other-vegetables,pastry,shopping-bags,frozen-vegetables,turkey,pip-fruit,soda
margarine,margarine,whole-milk,other-vegetables,yogurt,rolls/buns,root-vegetables,domestic-eggs,pip-fruit,bottled-water,sugar
ready-soups,ready-soups,semi-finished-bread,hair-spray,frozen-meals,organic-sausage,rolls/buns,margarine,mustard,bottled-water,newspapers
tropical-fruit,tropical-fruit,whole-milk,other-vegetables,yogurt,pip-fruit,citrus-fruit,root-vegetables,rolls/buns,bottled-water,whipped/sour-cream
yogurt,yogurt,whole-milk,other-vegetables,tropical-fruit,rolls/buns,root-vegetables,whipped/sour-cream,citrus-fruit,curd,fruit/vegetable-juice
coffee,coffee,whole-milk,other-vegetables,shopping-bags,yogurt,sugar,rolls/buns,pip-fruit,condensed-milk,soda
whole-milk,whole-milk,other-vegetables,yogurt,root-vegetables,rolls/buns,tropical-fruit,whipped/sour-cream,domestic-eggs,butter,curd
pip-fruit,pip-fruit,tropical-fruit,whole-milk,other-vegetables,yogurt,citrus-fruit,root-vegetables,pastry,fruit/vegetable-juice,margarine
cream-cheese-,cream-cheese-,yogurt,whole-milk,other-vegetables,whipped/sour-cream,rolls/buns,root-vegetables,tropical-fruit,pip-fruit,curd
meat-spreads,meat-spreads,canned-fish,cream-cheese-,yogurt,hamburger-meat,brown-bread,soda,domestic-eggs,ketchup,rolls/buns
other-vegetables,other-vegetables,whole-milk,root-vegetables,yogurt,tropical-fruit,whipped/sour-cream,citrus-fruit,rolls/buns,pip-fruit,pork
condensed-milk,condensed-milk,coffee,fruit/vegetable-juice,other-vegetables,cling-film/bags,sugar,nut-snack,salty-snack,rolls/buns,shopping-bags
long-life-bakery-product,long-life-bakery-product,whole-milk,other-vegetables,chocolate,yogurt,fruit/vegetable-juice,whipped/sour-cream,white-bread,napkins,waffles
butter,butter,whole-milk,other-vegetables,yogurt,root-vegetables,domestic-eggs,whipped/sour-cream,citrus-fruit,rolls/buns,tropical-fruit
rice,rice,root-vegetables,whole-milk,other-vegetables,butter,fruit/vegetable-juice,canned-fruit,sugar,hard-cheese,frozen-vegetables
