,Person,1,2,3,4,5,6
0,1,candles,hair-spray,oil,UHT-milk,soups,pip-fruit
1,2,seasonal-products,pip-fruit,beverages,citrus-fruit,curd,berries
2,3,cereals,curd,domestic-eggs,pot-plants,butter,pastry
3,4,butter-milk,tropical-fruit,canned-fish,curd,beverages,citrus-fruit
4,5,coffee,cereals,chocolate,waffles,specialty-chocolate,house-keeping-products
5,6,curd,cleaner,domestic-eggs,curd-cheese,soft-cheese,whipped/sour-cream
6,7,frankfurter,sausage,spread-cheese,newspapers,soda,tidbits
7,8,red/blush-wine,dishes,bottled-water,canned-beer,liquor,brandy
8,9,prosecco,dog-food,finished-products,jam,kitchen-utensil,brown-bread
9,10,soap,curd,domestic-eggs,pot-plants,butter,pastry
10,11,fruit/vegetable-juice,grapes,processed-cheese,candy,citrus-fruit,ham
11,12,fruit/vegetable-juice,domestic-eggs,whipped/sour-cream,hygiene-articles,pip-fruit,onions
12,13,cookware,jam,root-vegetables,cat-food,soap,pork
13,14,canned-beer,sausage,spread-cheese,chewing-gum,shopping-bags,specialty-bar
14,15,frozen-vegetables,pip-fruit,grapes,semi-finished-bread,citrus-fruit,tea
15,16,rice,condensed-milk,hard-cheese,dental-care,frozen-chicken,flour
16,17,make-up-remover,misc.-beverages,salty-snack,long-life-bakery-product,soap,dog-food
17,18,shopping-bags,whipped/sour-cream,berries,pork,napkins,hygiene-articles
18,19,candy,waffles,chocolate-marshmallow,nuts/prunes,long-life-bakery-product,finished-products
19,20,shopping-bags,whipped/sour-cream,berries,pork,napkins,hygiene-articles
20,21,root-vegetables,onions,dishes,pork,specialty-cheese,chicken
21,22,candles,potato-products,specialty-bar,waffles,semi-finished-bread,tidbits
22,23,cereals,curd,domestic-eggs,pot-plants,butter,pastry
23,24,nuts/prunes,tea,white-bread,ham,ice-cream,honey
24,25,whole-milk,frankfurter,yogurt,sausage,newspapers,chocolate
25,26,male-cosmetics,white-wine,red/blush-wine,bottled-beer,UHT-milk,liquor-(appetizer)
26,27,curd,cream-cheese-,spread-cheese,berries,soft-cheese,beverages
27,28,candy,shopping-bags,spread-cheese,canned-beer,specialty-bar,waffles
28,29,root-vegetables,onions,dishes,pork,specialty-cheese,chicken
29,30,liquor-(appetizer),white-wine,misc.-beverages,ice-cream,salty-snack,sweet-spreads
30,31,male-cosmetics,UHT-milk,fruit/vegetable-juice,spread-cheese,soda,misc.-beverages
31,32,Instant-food-products,chewing-gum,dishes,soda,bottled-beer,newspapers
32,33,flour,roll-products-,rice,margarine,salt,beef
33,34,root-vegetables,chicken,frozen-vegetables,ice-cream,cake-bar,instant-coffee
34,35,soap,softener,pot-plants,berries,honey,decalcifier
35,36,specialty-bar,shopping-bags,waffles,chocolate,semi-finished-bread,beverages
36,37,make-up-remover,misc.-beverages,salty-snack,long-life-bakery-product,soap,dog-food
37,38,male-cosmetics,liquor-(appetizer),liqueur,shopping-bags,red/blush-wine,white-wine
38,39,curd,beef,herbs,pork,onions,oil
39,40,male-cosmetics,toilet-cleaner,nuts/prunes,canned-fruit,organic-products,liquor-(appetizer)
40,41,white-wine,spread-cheese,chewing-gum,red/blush-wine,liquor-(appetizer),specialty-chocolate
41,42,frankfurter,pip-fruit,beverages,citrus-fruit,specialty-bar,fruit/vegetable-juice
42,43,whipped/sour-cream,packaged-fruit/vegetables,curd,cream-cheese-,spread-cheese,soft-cheese
43,44,male-cosmetics,liquor-(appetizer),liqueur,shopping-bags,red/blush-wine,white-wine
44,45,meat-spreads,instant-coffee,canned-beer,sausage,UHT-milk,white-wine
45,46,condensed-milk,cling-film/bags,kitchen-towels,UHT-milk,sparkling-wine,seasonal-products
46,47,soda,grapes,white-wine,male-cosmetics,bottled-beer,sound-storage-medium
47,48,frankfurter,sausage,spread-cheese,newspapers,soda,tidbits
48,49,liqueur,canned-fruit,sparkling-wine,sweet-spreads,frozen-dessert,whipped/sour-cream
49,50,whole-milk,herbs,domestic-eggs,yogurt,cream-cheese-,tropical-fruit
50,51,spread-cheese,frankfurter,soda,sliced-cheese,nuts/prunes,shopping-bags
51,52,male-cosmetics,liquor-(appetizer),liqueur,shopping-bags,red/blush-wine,white-wine
52,53,white-bread,pot-plants,hard-cheese,processed-cheese,sliced-cheese,ice-cream
53,54,cooking-chocolate,tea,pip-fruit,whole-milk,yogurt,dessert
54,55,white-bread,pastry,bottled-water,fruit/vegetable-juice,instant-coffee,dessert
55,56,cereals,cream-cheese-,brown-bread,dessert,whipped/sour-cream,beverages
56,57,male-cosmetics,liquor-(appetizer),sauces,meat,liqueur,spread-cheese
57,58,photo/film,dish-cleaner,soda,rubbing-alcohol,white-wine,skin-care
58,59,sound-storage-medium,berries,processed-cheese,spread-cheese,curd-cheese,instant-coffee
59,60,frankfurter,soda,specialty-bar,waffles,beverages,chocolate
60,61,flower-(seeds),chicken,softener,pork,pickled-vegetables,pot-plants
61,62,shopping-bags,soda,brown-bread,frankfurter,organic-sausage,sliced-cheese
62,63,rolls/buns,root-vegetables,brown-bread,sliced-cheese,jam,pastry
63,64,mustard,meat,pastry,spread-cheese,beverages,sausage
64,65,specialty-bar,shopping-bags,waffles,chocolate,beverages,canned-beer
65,66,cereals,curd,domestic-eggs,pot-plants,butter,pastry
66,67,condensed-milk,abrasive-cleaner,cling-film/bags,kitchen-towels,UHT-milk,sparkling-wine
